question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is (are) abetalipoproteinemia ?,0000003-1,information,"Abetalipoproteinemia is an inherited disorder that affects the absorption of dietary fats, cholesterol, and fat-soluble vitamins. People affected by this disorder are not able to make certain lipoproteins, which are particles that carry fats and fat-like substances (such as cholesterol) in the blood. Specifically, people with abetalipoproteinemia are missing a group of lipoproteins called beta-lipoproteins. An inability to make beta-lipoproteins causes severely reduced absorption (malabsorption) of dietary fats and fat-soluble vitamins (vitamins A, D, E, and K) from the digestive tract into the bloodstream. Sufficient levels of fats, cholesterol, and vitamins are necessary for normal growth, development, and maintenance of the body's cells and tissues, particularly nerve cells and tissues in the eye.  The signs and symptoms of abetalipoproteinemia appear in the first few months of life. They can include failure to gain weight and grow at the expected rate (failure to thrive); diarrhea; abnormal star-shaped red blood cells (acanthocytosis); and fatty, foul-smelling stools (steatorrhea). Other features of this disorder may develop later in childhood and often impair the function of the nervous system. Disturbances in nerve function may cause affected people to eventually develop poor muscle coordination and difficulty with balance and movement (ataxia). Individuals with this condition may also develop an eye disorder called retinitis pigmentosa, in which progressive degeneration of the light-sensitive layer (retina) at the back of the eye can cause vision loss. Adults in their thirties or forties may have increasing difficulty with balance and walking. Many of the signs and symptoms of abetalipoproteinemia result from a severe vitamin deficiency, especially a deficiency of vitamin E.",abetalipoproteinemia,0000003,GHR,https://ghr.nlm.nih.gov/condition/abetalipoproteinemia,C0000744,T047,Disorders
How many people are affected by abetalipoproteinemia ?,0000003-2,frequency,Abetalipoproteinemia is a rare disorder with approximately 100 cases described worldwide.,abetalipoproteinemia,0000003,GHR,https://ghr.nlm.nih.gov/condition/abetalipoproteinemia,C0000744,T047,Disorders
What are the genetic changes related to abetalipoproteinemia ?,0000003-3,genetic changes,"Mutations in the MTTP gene cause abetalipoproteinemia. The MTTP gene provides instructions for making a protein called microsomal triglyceride transfer protein, which is essential for creating beta-lipoproteins. These lipoproteins are necessary for the absorption of fats, cholesterol, and fat-soluble vitamins from the diet and the efficient transport of these substances in the bloodstream. Most of the mutations in the MTTP gene lead to the production of an abnormally short microsomal triglyceride transfer protein, which prevents the normal creation of beta-lipoproteins in the body. A lack of beta-lipoproteins causes the nutritional and neurological problems seen in people with abetalipoproteinemia.",abetalipoproteinemia,0000003,GHR,https://ghr.nlm.nih.gov/condition/abetalipoproteinemia,C0000744,T047,Disorders
Is abetalipoproteinemia inherited ?,0000003-4,inheritance,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",abetalipoproteinemia,0000003,GHR,https://ghr.nlm.nih.gov/condition/abetalipoproteinemia,C0000744,T047,Disorders
What are the treatments for abetalipoproteinemia ?,0000003-5,treatment,These resources address the diagnosis or management of abetalipoproteinemia:  - Genetic Testing Registry: Abetalipoproteinaemia  - MedlinePlus Encyclopedia: Bassen-Kornzweig syndrome  - MedlinePlus Encyclopedia: Malabsorption  - MedlinePlus Encyclopedia: Retinitis pigmentosa  - MedlinePlus Encyclopedia: Stools - floating   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,abetalipoproteinemia,0000003,GHR,https://ghr.nlm.nih.gov/condition/abetalipoproteinemia,C0000744,T047,Disorders
What is (are) acatalasemia ?,0000004-1,information,"Acatalasemia is a condition characterized by very low levels of an enzyme called catalase. Many people with acatalasemia never have any health problems related to the condition and are diagnosed because they have affected family members.  Some of the first reported individuals with acatalasemia developed open sores (ulcers) inside the mouth that led to the death of soft tissue (gangrene). When mouth ulcers and gangrene occur with acatalasemia, the condition is known as Takahara disease. These complications are rarely seen in more recent cases of acatalasemia, probably because of improvements in oral hygiene.  Studies suggest that people with acatalasemia have an increased risk of developing type 2 diabetes mellitus, which is the most common form of diabetes. A higher percentage of people with acatalasemia have type 2 diabetes mellitus than in the general population, and the disease tends to develop at an earlier age (in a person's thirties or forties, on average). Researchers speculate that acatalasemia could also be a risk factor for other common, complex diseases; however, only a small number of cases have been studied.",acatalasemia,0000004,GHR,https://ghr.nlm.nih.gov/condition/acatalasemia,C0268419,T047,Disorders
How many people are affected by acatalasemia ?,0000004-2,frequency,"More than 100 cases of acatalasemia have been reported in the medical literature. Researchers estimate that the condition occurs in about 1 in 12,500 people in Japan, 1 in 20,000 people in Hungary, and 1 in 25,000 people in Switzerland. The prevalence of acatalasemia in other populations is unknown.",acatalasemia,0000004,GHR,https://ghr.nlm.nih.gov/condition/acatalasemia,C0268419,T047,Disorders
What are the genetic changes related to acatalasemia ?,0000004-3,genetic changes,"Mutations in the CAT gene can cause acatalasemia. This gene provides instructions for making the enzyme catalase, which breaks down hydrogen peroxide molecules into oxygen and water. Hydrogen peroxide is produced through chemical reactions within cells. At low levels, it is involved in several chemical signaling pathways, but at high levels it is toxic to cells. If hydrogen peroxide is not broken down by catalase, additional reactions convert it into compounds called reactive oxygen species that can damage DNA, proteins, and cell membranes.  Mutations in the CAT gene greatly reduce the activity of catalase. A shortage of this enzyme can allow hydrogen peroxide to build up to toxic levels in certain cells. For example, hydrogen peroxide produced by bacteria in the mouth may accumulate in and damage soft tissues, leading to mouth ulcers and gangrene. A buildup of hydrogen peroxide may also damage beta cells of the pancreas, which release a hormone called insulin that helps control blood sugar. Malfunctioning beta cells are thought to underlie the increased risk of type 2 diabetes mellitus in people with acatalasemia. It is unclear why some people have no health problems associated with a loss of catalase activity.  Many people with reduced catalase activity do not have an identified mutation in the CAT gene; in these cases, the cause of the condition is unknown. Researchers believe that other genetic and environmental factors can also influence the activity of catalase.",acatalasemia,0000004,GHR,https://ghr.nlm.nih.gov/condition/acatalasemia,C0268419,T047,Disorders
Is acatalasemia inherited ?,0000004-4,inheritance,"Acatalasemia has an autosomal recessive pattern of inheritance, which means both copies of the CAT gene in each cell have mutations. When both copies of the gene are altered, the activity of catalase is reduced to less than 10 percent of normal.  When only one of the two copies of the CAT gene has a mutation, the activity of catalase is reduced by approximately half. This reduction in catalase activity is often called hypocatalasemia. Like acatalasemia, hypocatalasemia usually does not cause any health problems.",acatalasemia,0000004,GHR,https://ghr.nlm.nih.gov/condition/acatalasemia,C0268419,T047,Disorders
What are the treatments for acatalasemia ?,0000004-5,treatment,"These resources address the diagnosis or management of acatalasemia:  - Genetic Testing Registry: Acatalasemia  - Genetic Testing Registry: Acatalasemia, japanese type   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",acatalasemia,0000004,GHR,https://ghr.nlm.nih.gov/condition/acatalasemia,C0268419,T047,Disorders
What is (are) aceruloplasminemia ?,0000005-1,information,"Aceruloplasminemia is a disorder in which iron gradually accumulates in the brain and other organs. Iron accumulation in the brain results in neurological problems that generally appear in adulthood and worsen over time.  People with aceruloplasminemia develop a variety of movement problems. They may experience involuntary muscle contractions (dystonia) of the head and neck, resulting in repetitive movements and contortions. Other involuntary movements may also occur, such as rhythmic shaking (tremors), jerking movements (chorea), eyelid twitching (blepharospasm), and grimacing. Affected individuals may also have difficulty with coordination (ataxia). Some develop psychiatric problems and a decline of intellectual function (dementia) in their forties or fifties.  In addition to neurological problems, affected individuals may have diabetes mellitus caused by iron damage to cells in the pancreas that make insulin, a hormone that helps control blood sugar levels. Iron accumulation in the pancreas reduces the cells' ability to make insulin, which impairs blood sugar regulation and leads to the signs and symptoms of diabetes.  Iron accumulation in the tissues and organs results in a corresponding shortage (deficiency) of iron in the blood, leading to a shortage of red blood cells (anemia). Anemia and diabetes usually occur by the time an affected person is in his or her twenties.  Affected individuals also have changes in the light-sensitive tissue at the back of the eye (retina) caused by excess iron. The changes result in small opaque spots and areas of tissue degeneration (atrophy) around the edges of the retina. These abnormalities usually do not affect vision but can be observed during an eye examination.  The specific features of aceruloplasminemia and their severity may vary, even within the same family.",aceruloplasminemia,0000005,GHR,https://ghr.nlm.nih.gov/condition/aceruloplasminemia,C0878682,T047,Disorders
How many people are affected by aceruloplasminemia ?,0000005-2,frequency,"Aceruloplasminemia has been seen worldwide, but its overall prevalence is unknown. Studies in Japan have estimated that approximately 1 in 2 million adults in this population are affected.",aceruloplasminemia,0000005,GHR,https://ghr.nlm.nih.gov/condition/aceruloplasminemia,C0878682,T047,Disorders
What are the genetic changes related to aceruloplasminemia ?,0000005-3,genetic changes,"Mutations in the CP gene cause aceruloplasminemia. The CP gene provides instructions for making a protein called ceruloplasmin, which is involved in iron transport and processing. Ceruloplasmin helps move iron from the organs and tissues of the body and prepares it for incorporation into a molecule called transferrin, which transports it to red blood cells to help carry oxygen.  CP gene mutations result in the production of ceruloplasmin protein that is unstable or nonfunctional, or they prevent the protein from being released (secreted) by the cells in which it is made. When ceruloplasmin is unavailable, transport of iron out of the body's tissues is impaired. The resulting iron accumulation damages cells in those tissues, leading to neurological dysfunction, and the other health problems seen in aceruloplasminemia.",aceruloplasminemia,0000005,GHR,https://ghr.nlm.nih.gov/condition/aceruloplasminemia,C0878682,T047,Disorders
Is aceruloplasminemia inherited ?,0000005-4,inheritance,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",aceruloplasminemia,0000005,GHR,https://ghr.nlm.nih.gov/condition/aceruloplasminemia,C0878682,T047,Disorders
What are the treatments for aceruloplasminemia ?,0000005-5,treatment,These resources address the diagnosis or management of aceruloplasminemia:  - Gene Review: Gene Review: Aceruloplasminemia  - Genetic Testing Registry: Deficiency of ferroxidase   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,aceruloplasminemia,0000005,GHR,https://ghr.nlm.nih.gov/condition/aceruloplasminemia,C0878682,T047,Disorders
What is (are) achondrogenesis ?,0000006-1,information,"Achondrogenesis is a group of severe disorders that affect cartilage and bone development. These conditions are characterized by a small body, short limbs, and other skeletal abnormalities. As a result of serious health problems, infants with achondrogenesis usually die before birth, are stillborn, or die soon after birth from respiratory failure. However, some infants have lived for a short time with intensive medical support.  Researchers have described at least three forms of achondrogenesis, designated as type 1A, type 1B, and type 2. The types are distinguished by their signs and symptoms, inheritance pattern, and genetic cause. However, types 1A and 1B are often hard to tell apart without genetic testing.  Achondrogenesis type 1A, which is also called the Houston-Harris type, is the least well understood of the three forms. Affected infants have extremely short limbs, a narrow chest, short ribs that fracture easily, and a lack of normal bone formation (ossification) in the skull, spine, and pelvis.  Achondrogenesis type 1B, also known as the Parenti-Fraccaro type, is characterized by extremely short limbs, a narrow chest, and a prominent, rounded abdomen. The fingers and toes are short and the feet may turn inward and upward (clubfeet). Affected infants frequently have a soft out-pouching around the belly-button (an umbilical hernia) or near the groin (an inguinal hernia).  Infants with achondrogenesis type 2, which is sometimes called the Langer-Saldino type, have short arms and legs, a narrow chest with short ribs, and underdeveloped lungs. This condition is also associated with a lack of ossification in the spine and pelvis. Distinctive facial features include a prominent forehead, a small chin, and, in some cases, an opening in the roof of the mouth (a cleft palate). The abdomen is enlarged, and affected infants often have a condition called hydrops fetalis, in which excess fluid builds up in the body before birth.",achondrogenesis,0000006,GHR,https://ghr.nlm.nih.gov/condition/achondrogenesis,C0001079,T019,Disorders
How many people are affected by achondrogenesis ?,0000006-2,frequency,"Achondrogenesis types 1A and 1B are rare genetic disorders; their incidence is unknown. Combined, achondrogenesis type 2 and hypochondrogenesis (a similar skeletal disorder) occur in 1 in 40,000 to 60,000 newborns.",achondrogenesis,0000006,GHR,https://ghr.nlm.nih.gov/condition/achondrogenesis,C0001079,T019,Disorders
What are the genetic changes related to achondrogenesis ?,0000006-3,genetic changes,"Mutations in the TRIP11, SLC26A2, and COL2A1 genes cause achondrogenesis type 1A, type 1B, and type 2, respectively.  The genetic cause of achondrogenesis type 1A was unknown until recently, when researchers discovered that the condition can result from mutations in the TRIP11 gene. This gene provides instructions for making a protein called GMAP-210. This protein plays a critical role in the Golgi apparatus, a cell structure in which newly produced proteins are modified so they can carry out their functions. Mutations in the TRIP11 gene prevent the production of functional GMAP-210, which alters the structure and function of the Golgi apparatus. Researchers suspect that cells called chondrocytes in the developing skeleton may be most sensitive to these changes. Chondrocytes give rise to cartilage, a tough, flexible tissue that makes up much of the skeleton during early development. Most cartilage is later converted to bone, except for the cartilage that continues to cover and protect the ends of bones and is present in the nose and external ears. Malfunction of the Golgi apparatus in chondrocytes likely underlies the problems with bone formation in achondrogenesis type 1A.  Achondrogenesis type 1B is the most severe of a spectrum of skeletal disorders caused by mutations in the SLC26A2 gene. This gene provides instructions for making a protein that is essential for the normal development of cartilage and for its conversion to bone. Mutations in the SLC26A2 gene cause the skeletal problems characteristic of achondrogenesis type 1B by disrupting the structure of developing cartilage, which prevents bones from forming properly.  Achondrogenesis type 2 is one of several skeletal disorders that result from mutations in the COL2A1 gene. This gene provides instructions for making a protein that forms type II collagen. This type of collagen is found mostly in cartilage and in the clear gel that fills the eyeball (the vitreous). It is essential for the normal development of bones and other connective tissues that form the body's supportive framework. Mutations in the COL2A1 gene interfere with the assembly of type II collagen molecules, which prevents bones and other connective tissues from developing properly.",achondrogenesis,0000006,GHR,https://ghr.nlm.nih.gov/condition/achondrogenesis,C0001079,T019,Disorders
Is achondrogenesis inherited ?,0000006-4,inheritance,"Achondrogenesis type 1A and type 1B both have an autosomal recessive pattern of inheritance, which means both copies of the TRIP11 or SLC26A2 gene in each cell have mutations. Most often, the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but do not show signs and symptoms of the condition.  Achondrogenesis type 2 is considered an autosomal dominant disorder because one copy of the altered gene in each cell is sufficient to cause the condition. It is almost always caused by new mutations in the COL2A1 gene and typically occurs in people with no history of the disorder in their family.",achondrogenesis,0000006,GHR,https://ghr.nlm.nih.gov/condition/achondrogenesis,C0001079,T019,Disorders
What are the treatments for achondrogenesis ?,0000006-5,treatment,"These resources address the diagnosis or management of achondrogenesis:  - Gene Review: Gene Review: Achondrogenesis Type 1B  - Genetic Testing Registry: Achondrogenesis type 2  - Genetic Testing Registry: Achondrogenesis, type IA  - Genetic Testing Registry: Achondrogenesis, type IB  - MedlinePlus Encyclopedia: Achondrogenesis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",achondrogenesis,0000006,GHR,https://ghr.nlm.nih.gov/condition/achondrogenesis,C0001079,T019,Disorders
What is (are) achondroplasia ?,0000007-1,information,"Achondroplasia is a form of short-limbed dwarfism. The word achondroplasia literally means ""without cartilage formation."" Cartilage is a tough but flexible tissue that makes up much of the skeleton during early development. However, in achondroplasia the problem is not in forming cartilage but in converting it to bone (a process called ossification), particularly in the long bones of the arms and legs. Achondroplasia is similar to another skeletal disorder called hypochondroplasia, but the features of achondroplasia tend to be more severe.  All people with achondroplasia have short stature. The average height of an adult male with achondroplasia is 131 centimeters (4 feet, 4 inches), and the average height for adult females is 124 centimeters (4 feet, 1 inch). Characteristic features of achondroplasia include an average-size trunk, short arms and legs with particularly short upper arms and thighs, limited range of motion at the elbows, and an enlarged head (macrocephaly) with a prominent forehead. Fingers are typically short and the ring finger and middle finger may diverge, giving the hand a three-pronged (trident) appearance. People with achondroplasia are generally of normal intelligence.  Health problems commonly associated with achondroplasia include episodes in which breathing slows or stops for short periods (apnea), obesity, and recurrent ear infections. In childhood, individuals with the condition usually develop a pronounced and permanent sway of the lower back (lordosis) and bowed legs. Some affected people also develop abnormal front-to-back curvature of the spine (kyphosis) and back pain. A potentially serious complication of achondroplasia is spinal stenosis, which is a narrowing of the spinal canal that can pinch (compress) the upper part of the spinal cord. Spinal stenosis is associated with pain, tingling, and weakness in the legs that can cause difficulty with walking. Another uncommon but serious complication of achondroplasia is hydrocephalus, which is a buildup of fluid in the brain in affected children that can lead to increased head size and related brain abnormalities.",achondroplasia,0000007,GHR,https://ghr.nlm.nih.gov/condition/achondroplasia,C0001080,T019,Disorders
How many people are affected by achondroplasia ?,0000007-2,frequency,"Achondroplasia is the most common type of short-limbed dwarfism. The condition occurs in 1 in 15,000 to 40,000 newborns.",achondroplasia,0000007,GHR,https://ghr.nlm.nih.gov/condition/achondroplasia,C0001080,T019,Disorders
What are the genetic changes related to achondroplasia ?,0000007-3,genetic changes,"Mutations in the FGFR3 gene cause achondroplasia. The FGFR3 gene provides instructions for making a protein that is involved in the development and maintenance of bone and brain tissue. Two specific mutations in the FGFR3 gene are responsible for almost all cases of achondroplasia. Researchers believe that these mutations cause the FGFR3 protein to be overly active, which interferes with skeletal development and leads to the disturbances in bone growth seen with this disorder.",achondroplasia,0000007,GHR,https://ghr.nlm.nih.gov/condition/achondroplasia,C0001080,T019,Disorders
Is achondroplasia inherited ?,0000007-4,inheritance,"Achondroplasia is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. About 80 percent of people with achondroplasia have average-size parents; these cases result from new mutations in the FGFR3 gene. In the remaining cases, people with achondroplasia have inherited an altered FGFR3 gene from one or two affected parents. Individuals who inherit two altered copies of this gene typically have a severe form of achondroplasia that causes extreme shortening of the bones and an underdeveloped rib cage. These individuals are usually stillborn or die shortly after birth from respiratory failure.",achondroplasia,0000007,GHR,https://ghr.nlm.nih.gov/condition/achondroplasia,C0001080,T019,Disorders
What are the treatments for achondroplasia ?,0000007-5,treatment,These resources address the diagnosis or management of achondroplasia:  - Gene Review: Gene Review: Achondroplasia  - GeneFacts: Achondroplasia: Diagnosis  - GeneFacts: Achondroplasia: Management  - Genetic Testing Registry: Achondroplasia  - MedlinePlus Encyclopedia: Achondroplasia  - MedlinePlus Encyclopedia: Hydrocephalus  - MedlinePlus Encyclopedia: Lordosis  - MedlinePlus Encyclopedia: Spinal Stenosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,achondroplasia,0000007,GHR,https://ghr.nlm.nih.gov/condition/achondroplasia,C0001080,T019,Disorders
