question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What are the brand names of Abacavir ?,0000001-12,brand names,"Ziagen ® , ",Abacavir,0000001,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a699012.html,,,
What are the brand names of combination products of Abacavir ?,0000001-13,brand names of combination products,"Ziagen ® , ",Abacavir,0000001,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a699012.html,,,
Who should get Abatacept Injection and why is it prescribed ?,0000002-1,indication,"Abatacept is used:

 alone or in combination with other medications to reduce the pain, swelling, difficulty with daily activities, and joint damage caused by rheumatoid arthritis (a condition in which the body attacks its own joints causing pain, swelling, and loss of function) in adults who have not been helped by other medications., alone or in combination with methotrexate (Otrexup, Rasuvo, Reditrex, Trexall, Xatmep) to treat polyarticular juvenile idiopathic arthritis (PJIA; a type of childhood arthritis that affects five or more joints during the first six months of the condition, causing pain, swelling, and loss of function) in children 2 years of age or older., alone or in combination with other medications to treat psoriatic arthritis (condition that causes joint pain and swelling and scales on the skin) in adults., in combination with a calcineurin inhibitor (e.g., cyclosporine [Gengraf, Neoral, Sandimmune], tacrolimus [Astagraf, Prograf]) and methotrexate to prevent graft-versus-host disease (GVHD; a complication of hematopoietic stem-cell transplant [HSCT; a procedure that replaces diseased bone marrow with healthy bone marrow]) in adults and children 2 years of age and older.,  Abatacept is in a class of medications called selective costimulation modulators (immunomodulators). It works by blocking the activity of T-cells, a type of immune cell in the body that causes swelling and joint damage in people who have arthritis.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
How should Abatacept Injection be used and what is the dosage ?,0000002-2,usage,"Abatacept comes as a powder to be mixed with sterile water to be given intravenously (into a vein) and as a solution (liquid) in a prefilled syringe or an autoinjector to be given subcutaneously (under the skin). It is usually given by a doctor or nurse in a doctor's office or healthcare facility when given intravenously. It also my be given subcutaneously by a doctor or nurse or you or a caregiver may be told to inject the medication subcutaneously at home. When abatacept is given intravenously to treat rheumatoid arthritis or psoriatic arthritis, it is usually given every 2 weeks for the first 3 doses and then every 4 weeks for as long as treatment continues. When abatacept is given intravenously to treat polyarticular juvenile idiopathic arthritis in children 6 years and older, it is usually given every two weeks for the first two doses and then every four weeks for as long as treatment continues. If you are receiving abatacept intravenously to treat rheumatoid arthritis, psoriatic arthritis, or polyarticular juvenile idiopathic arthritis in children 6 years of age and older, it will take about 30 minutes for you to receive your entire dose. When abatacept is given subcutaneously to treat rheumatoid arthritis or psoriatic arthritis in adults and polyarticular juvenile idiopathic arthritis in children 2 years and older, it is usually given once weekly. When abatacept is given intravenously to prevent graft versus host disease, it is usually injected slowly over 60 minutes on the day before hematopoietic stem-cell transplant and then on days 5, 14, and 28 after the transplant. If you will be injecting abatacept injection by yourself at home or having a friend or relative inject the medication for you, ask your doctor to show you or the person who will be injecting the medication how to inject it. You and the person who will be injecting the medication should also read the manufacturer's written instructions for use that come with the medication. Before you open the package containing your medication, check to be sure that the expiration date printed on the package has not passed. After you open the package, look closely at the liquid in the syringe. The liquid should be clear or pale yellow and should not contain large, colored particles. Call your pharmacist, if there are any problems with the package or the syringe. Do not inject the medication. You may inject abatacept injection anywhere on your stomach or thighs except your navel (belly button) and the area 2 inches around it. If someone else will be injecting the medication for you, that person can also inject it into the outer area of your upper arm. Use a different spot for each injection. Do not inject abatacept injection into a spot that is tender, bruised, red, or hard. Also, do not inject into areas with scars or stretch marks. Remove the prefilled syringe or prefilled autoinjector from the refrigerator and allow it to warm to room temperature for 30 minutes before using it. Do not warm abatacept injection in hot water, microwave, or place it in sunlight. Do not remove the needle cover while allowing the prefilled syringe to reach room temperature. Your doctor will give you the manufacturer's patient information sheet to read before you receive each dose of abatacept. Read the information carefully and ask your doctor any questions you have.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
Are there safety concerns or special precautions about Abatacept Injection ?,0000002-4,precautions,"Before using abatacept, tell your doctor and pharmacist if you are allergic to abatacept, any other medications, or any of the ingredients in abatacept injection. Ask your pharmacist for a list of the ingredients., tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take while taking abatacept. Your doctor may need to change the doses of your medications or monitor you carefully for side effects., tell your doctor if you have an infection anywhere in the body, including infections that come and go, such as cold sores, and chronic infections that do not go away, or if you often get any type of infection such as bladder infections. Also tell your doctor if you have or have ever had chronic obstructive pulmonary disease (COPD; a group of lung diseases that includes chronic bronchitis and emphysema); any disease that affects your nervous system, such as multiple sclerosis; hepatitis B (a virus that affects the liver); diabetes; high blood pressure; or any disease that affects your immune system, such as cancer, human immunodeficiency virus (HIV), acquired immunodeficiency syndrome (AIDS), or severe combined immunodeficiency syndrome (SCID). Also tell your doctor if you have or have ever had tuberculosis (TB; a lung infection that may not cause symptoms for many years and that may spread to other parts of the body) or if you have been around someone who has or has had tuberculosis. Your doctor may give you a skin test to see whether you are infected with tuberculosis. Tell your doctor if you have ever had a positive skin test for tuberculosis in the past., If you are receiving abatacept to prevent graft versus host disease, tell your doctor if you have ever had Epstein-Barr virus (EBV; a herpes virus that causes infectious mononucleosis and is associated with certain cancers) or cytomegalovirus (CMV). Your doctor may monitor you for 6 months after your transplant and may tell you to take antiviral medicines before, during, and for 6 months after your transplant to prevent EBV and CMV infections., tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while using abatacept, call your doctor., if you are having surgery, including dental surgery, tell the doctor or dentist that you are using abatacept., tell your doctor if you have recently received or are scheduled to receive any vaccines. You should not have any vaccinations while you are using abatacept or for 3 months after your final dose of abatacept without talking to your doctor., ",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What special dietary instructions should I follow with Abatacept Injection ?,0000002-5,dietary,"Unless your doctor tells you otherwise, continue your normal diet.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What should I do if I forget a dose of Abatacept Injection ?,0000002-6,forget a dose,"If you are receiving abatacept intravenously and miss an appointment to receive an abatacept infusion, call your doctor as soon as possible. If you are receiving abatacept subcutaneously and miss a dose, ask your doctor for a new dosing schedule.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What are the side effects or risks of Abatacept Injection ?,0000002-7,side effects,"Abatacept may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:

 headache, runny nose, nausea, diarrhea, stomach pain, dizziness, heartburn, back pain, arm or leg pain, injection site bruising, redness, and itching, nosebleed,  Some side effects can be serious. If you experience any of these symptoms, call your doctor immediately:

 hives; rash; itching; swelling of the eyes, face, lips, tongue, or throat; difficulty breathing or swallowing, shortness of breath, fatigue, pale skin, fast or irregular heartbeat, flu-like symptoms, fever, chills, cough, sore throat, and other signs of infection, dry cough that doesn't go away, weight loss, night sweats, frequent urination or sudden need to urinate right away, burning during urination, red, hot, swollen area on the skin,  Abatacept may increase the risk of developing certain types of cancer including lymphoma (cancer that begins in the cells that fight infection) and skin cancer. People who have had severe rheumatoid arthritis for a long time may have a greater than normal risk of developing these cancers even if they do not use abatacept. Your doctor will also check your skin for any changes during your treatment. Talk to your doctor about the risks of using this medication. Abatacept may cause other side effects. Call your doctor if you have any unusual problems while using this medication.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What should I know about storage and disposal of Abatacept Injection ?,0000002-8,storage and disposal,Keep the prefilled syringes and autoinjectors in the original carton it came in to protect them from light and out of reach of children. Store abatacept prefilled syringes or autoinjectors in the refrigerator and do not freeze.,Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What to do in case of emergency or overdose of Abatacept Injection ?,0000002-9,emergency or overdose,"In case of overdose, call the poison control helpline at 1-800-222-1222. Information is also available online at  https://www.poisonhelp.org/help . If the victim has collapsed, had a seizure, has trouble breathing, or can't be awakened, immediately call emergency services at 911.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What other information should I know about Abatacept Injection ?,0000002-10,other information,"Keep all appointments with your doctor and the laboratory. Your doctor will order certain lab tests to check your body's response to abatacept injection. Before having any laboratory test, tell your doctor and the laboratory personnel that you are using abatacept injection. If you are diabetic and receiving abatacept intravenously, abatacept injection may give falsely high blood glucose readings on the day of your infusion. Talk to your doctor or pharmacist about blood glucose monitoring tests to use during your treatment. It is important for you to keep a written list of all of the prescription and nonprescription (over-the-counter) medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. You should bring this list with you each time you visit a doctor or if you are admitted to a hospital. It is also important information to carry with you in case of emergencies.",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
What are the brand names of Abatacept Injection ?,0000002-11,brand names,"Orencia ® , ",Abatacept Injection,0000002,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a606016.html,,,
Who should get Abiraterone and why is it prescribed ?,0000003-1,indication,Abiraterone is used in combination with prednisone to treat a certain type of prostate cancer that has spread to other parts of the body. Abiraterone is in a class of medications called androgen biosynthesis inhibitors. It works by decreasing the amount of certain hormones in the body.,Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
How should Abiraterone be used and what is the dosage ?,0000003-2,usage,"Abiraterone comes as a tablet to take by mouth on an empty stomach with water, 1 hour before or 2 hours after eating any food. It is usually taken once daily. Take abiraterone at around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take abiraterone exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor. Swallow the tablets whole with water; do not split, chew, or crush them. Continue to take abiraterone even if you feel well. Do not stop taking abiraterone or prednisone without talking to your doctor. Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
Are there safety concerns or special precautions about Abiraterone ?,0000003-4,precautions,"Before taking abiraterone, tell your doctor and pharmacist if you are allergic to abiraterone, any other medications, or any of the ingredients in abiraterone tablets. Ask your pharmacist for a list of the ingredients., tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Your doctor may need to change the doses of your medications or monitor you carefully for side effects., The following nonprescription or herbal product may interact with abiraterone: St. John's Wort. Be sure to let your doctor and pharmacist know that you are taking this medication before you start taking abiraterone. Do not start this medication while taking abiraterone without discussing it with your healthcare provider., tell your doctor if you have an infection, a low level of potassium in your blood, or are experiencing unusual stress, have had a recent heart attack, or if you have or have ever had adrenal or pituitary gland problems, heart failure, an irregular heartbeat, including QT prolongation (an irregular heart rhythm that can lead to fainting, loss of consciousness, seizures, or sudden death), high blood pressure, diabetes, increased amounts of cholesterol (a fat-like substance) and other fatty substances in the blood, osteoporosis (condition in which the bones become weak and fragile and can break easily), or heart or liver disease., you should know that abiraterone is only for use in men. Women should not take this medication, especially if they are or may become pregnant or are breastfeeding. If taken by a pregnant woman, abiraterone may harm the fetus. Women who are, could become, or may be pregnant should not touch abiraterone tablets without protective gloves. If a pregnant woman takes or touches abiraterone tablets, she should call her doctor immediately., men with a female partner taking abiraterone must use effective contraception during treatment and for 3 weeks after the final dose. Talk to your doctor about the types of birth control that are right for you., you should know that this medication may decrease fertility in men. Talk to your doctor about the risks of taking abiraterone., you should know that abiraterone can cause hypoglycemia (low blood sugar). Your doctor may tell you to monitor your blood sugar. Call your doctor or get emergency medical treatment if you have symptoms of hypoglycemia, including headache, dizziness, weakness, tiredness, sweating, hunger, rapid or irregular heartbeat, confusion, irritability, or feeling jittery, ",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What special dietary instructions should I follow with Abiraterone ?,0000003-5,dietary,"Unless your doctor tells you otherwise, continue your normal diet.",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What should I do if I forget a dose of Abiraterone ?,0000003-6,forget a dose,"If you miss one dose, take your regular dose the next day. If you miss more than one dose, call your doctor right away.",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What are the side effects or risks of Abiraterone ?,0000003-7,side effects,"Abiraterone may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:

 joint swelling or pain, groin pain, hot flashes (a sudden wave of mild or intense body heat), diarrhea, constipation, heartburn, cough, sore throat, stuffy or runny nose, difficulty falling asleep or staying asleep,  Some side effects can be serious. If you experience any of these symptoms, call your doctor immediately:

 dizziness, feeling faint or lightheaded, headache, confusion, fast or irregular heartbeats, muscle weakness or aches, leg pain, swelling of the hands, feet, ankles, or lower legs, shortness of breath, rash; hives; itching; difficulty breathing or swallowing; or swelling of the face, lips, tongue or throat, unusual bruising or bleeding, , , yellowing of the skin or eyes, nausea, vomiting, loss of appetite, extreme tiredness, lack of energy, dark urine, or pain in the upper right part of the stomach, flu-like symptoms such as fever, blood in urine, difficult, painful, or frequent urination, falling, bone fracture,  Abiraterone may cause other side effects. Call your doctor if you have any unusual problems while taking this medication. If you experience a serious side effect, you or your doctor may send a report to the Food and Drug Administration's (FDA) MedWatch Adverse Event Reporting program online ( http://www.fda.gov/Safety/MedWatch ) or by phone (1-800-332-1088).",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What should I know about storage and disposal of Abiraterone ?,0000003-8,storage and disposal,"Keep this medication in the container it came in, tightly closed, and out of reach of children. Store it at room temperature and away from excess heat and moisture (not in the bathroom). It is important to keep all medication out of sight and reach of children as many containers (such as weekly pill minders and those for eye drops, creams, patches, and inhalers) are not child-resistant and young children can open them easily. To protect young children from poisoning, always lock safety caps and immediately place the medication in a safe location – one that is up and away and out of their sight and reach.  http://www.upandaway.org Unneeded medications should be disposed of in special ways to ensure that pets, children, and other people cannot consume them.  However, you should not flush this medication down the toilet. Instead, the best way to dispose of your medication is through a medicine take-back program. Talk to your pharmacist or contact your local garbage/recycling department to learn about take-back programs in your community.  See the FDA's Safe Disposal of Medicines website ( http://goo.gl/c4Rm4p ) for more information if you do not have access to a take-back program.",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What to do in case of emergency or overdose of Abiraterone ?,0000003-9,emergency or overdose,"In case of overdose, call the poison control helpline at 1-800-222-1222. Information is also available online at  https://www.poisonhelp.org/help . If the victim has collapsed, had a seizure, has trouble breathing, or can't be awakened, immediately call emergency services at 911. Symptoms of overdose may include:

 fast or irregular heartbeat, lightheadedness, dizziness, or fainting, shortness of breath or difficulty breathing, swelling of the feet, ankles, or lower legs, unexplained weight gain, ",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What other information should I know about Abiraterone ?,0000003-10,other information,"Keep all appointments with your doctor and the laboratory. Your blood pressure should be checked regularly. Your doctor will order certain lab tests to check your body's response to abiraterone. Do not let anyone else take your medication. Ask your pharmacist any questions you have about refilling your prescription. It is important for you to keep a written list of all of the prescription and nonprescription (over-the-counter) medicines you are taking, as well as any products such as vitamins, minerals, or other dietary supplements. You should bring this list with you each time you visit a doctor or if you are admitted to a hospital. It is also important information to carry with you in case of emergencies.",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What are the brand names of Abiraterone ?,0000003-11,brand names,"Zytiga ® , ",Abiraterone,0000003,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a611046.html,,,
What important warning or information should I know about AbobotulinumtoxinA Injection ?,0000004-1,important warning,"AbobotulinumtoxinA injection may spread from the area of injection and cause symptoms of botulism, including severe or life-threatening difficulty breathing or swallowing. People who develop difficulty swallowing during their treatment with this medication may continue to have this difficulty for several weeks, may need to be fed through a feeding tube, and may breathe food or drink into their lungs. Symptoms can occur within hours of an injection with abobotulinumtoxinA or as late as several weeks after treatment. Symptoms may occur in people of any age being treated for any condition, but the risk is probably highest in children being treated for spasticity (muscle stiffness and tightness). Tell your doctor if you have or have ever had any swallowing problems or breathing problems, such as asthma or emphysema, or any condition that affects your muscles or nerves, such as amyotrophic lateral sclerosis (ALS, Lou Gehrig's disease; condition in which the nerves that control muscle movement slowly die, causing the muscles to shrink and weaken), motor neuropathy (condition in which the muscles weaken over time), myasthenia gravis (condition that causes certain muscles to weaken, especially after activity), or Lambert-Eaton syndrome (condition that causes muscle weakness that may improve with activity). If you experience any of the following symptoms, call your doctor immediately: loss of strength or muscle weakness all over the body; double or blurred vision; drooping eyelids; difficulty swallowing, breathing, or speaking; or inability to control urination. Your doctor will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with abobotulinumtoxinA injection and each time you receive treatment. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website ( http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm ) or the manufacturer's website to obtain the Medication Guide.",AbobotulinumtoxinA Injection,0000004,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a609035.html,,,
Who should get AbobotulinumtoxinA Injection and why is it prescribed ?,0000004-2,indication,AbobotulinumtoxinA injection is used to relieve the symptoms of cervical dystonia (spasmodic torticollis; uncontrollable tightening of the neck muscles that may cause neck pain and abnormal head positions). It is also used to temporarily smooth frown lines (wrinkles between the eyebrows). AbobotulinumtoxinA injection is used to treat spasticity (muscle stiffness and tightness) of muscles in the arms and legs in adults and children 2 years of age and older. AbobotulinumtoxinA injection is in a class of medications called neurotoxins. It works by blocking the nerve signals that cause uncontrollable tightening and movement of the muscles.,AbobotulinumtoxinA Injection,0000004,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a609035.html,,,
How should AbobotulinumtoxinA Injection be used and what is the dosage ?,0000004-3,usage,"AbobotulinumtoxinA injection comes as a powder to be mixed with a liquid and injected into affected muscles by a doctor. Your doctor will choose the best place to inject the medication in order to treat your condition. You may receive additional injections of abobotulinumtoxinA every 3 to 4 months, depending on your condition and how long the effects of the treatment last. If you are receiving abobotulinumtoxinA injection for cervical dystonia, your doctor will probably start you on a low dose and gradually change your dose according to your response to the medication. One brand or type of botulinum toxin cannot be substituted for another. AbobotulinumtoxinA injection may help control your condition but will not cure it. If you are using abobotulinumtoxinA to treat cervical dystonia, it may take 2 weeks or longer before you feel the full benefit of abobotulinumtoxinA injection.",AbobotulinumtoxinA Injection,0000004,MPlusDrugs,https://www.nlm.nih.gov/medlineplus/druginfo/meds/a609035.html,,,
